gid,ev_id,iso3disno,iso3year,glide,iso3,id_nat,id_cat,year,start_date,end_date,time_gmt,time_local,duration
8856,DR1044,,CMR1982,,CMR,DR1044CMR,,1982,00000000,00000000,,00000000,0
8867,DR7785,,COD2000,,COD,DR7785COD,,2000,00000000,00000000,,00000000,0
8868,DR7792,,COD2000,,COD,DR7792COD,,2000,00000000,00000000,,00000000,0
8963,DR4144,,COK1989,,COK,DR4144COK,,1989,00000000,00000000,,00000000,0
8869,DR7795,,COD2000,,COD,DR7795COD,,2000,00000000,00000000,,00000000,0
8870,DR7503,,COD1999,,COD,DR7503COD,,1999,00000000,00000000,,00000000,0
8871,DR7504,,COD1999,,COD,DR7504COD,,1999,00000000,00000000,,00000000,0
8876,DR6843,,COD1997,,COD,DR6843COD,,1997,00000000,00000000,,00000000,0
8877,DR6862,,COD1997,,COD,DR6862COD,,1997,00000000,00000000,,00000000,0
8878,DR6603,,COD1996,,COD,DR6603COD,,1996,00000000,00000000,,00000000,0
8879,DR6247,,COD1995,,COD,DR6247COD,,1995,00000000,00000000,,00000000,0
8872,DR7507,,COD1999,,COD,DR7507COD,,1999,00000000,00000000,,00000000,0
8873,DR7186,,COD1998,,COD,DR7186COD,,1998,00000000,00000000,,00000000,0
8874,DR7190,,COD1998,,COD,DR7190COD,,1998,00000000,00000000,,00000000,0
8875,DR7191,,COD1998,,COD,DR7191COD,,1998,00000000,00000000,,00000000,0
8964,DR3710,,COK1988,,COK,DR3710COK,,1988,00000000,00000000,,00000000,0
8880,DR6249,,COD1995,,COD,DR6249COD,,1995,00000000,00000000,,00000000,0
8881,DR6261,,COD1995,,COD,DR6261COD,,1995,00000000,00000000,,00000000,0
8882,DR6270,,COD1995,,COD,DR6270COD,,1995,00000000,00000000,,00000000,0
8883,DR6276,,COD1995,,COD,DR6276COD,,1995,00000000,00000000,,00000000,0
8884,DR5890,,COD1994,,COD,DR5890COD,,1994,00000000,00000000,,00000000,0
8895,DR4496,,COD1990,,COD,DR4496COD,,1990,00000000,00000000,,00000000,0
8916,DR658,,COD1981,,COD,DR658COD,,1981,00000000,00000000,,00000000,0
8885,DR5892,,COD1994,,COD,DR5892COD,,1994,00000000,00000000,,00000000,0
8886,DR5912,,COD1994,,COD,DR5912COD,,1994,00000000,00000000,,00000000,0
8887,DR5914,,COD1994,,COD,DR5914COD,,1994,00000000,00000000,,00000000,0
8888,DR5923,,COD1994,,COD,DR5923COD,,1994,00000000,00000000,,00000000,0
8889,DR5218,,COD1992,,COD,DR5218COD,,1992,00000000,00000000,,00000000,0
8890,DR4842,,COD1991,,COD,DR4842COD,,1991,00000000,00000000,,00000000,0
8891,DR4848,,COD1991,,COD,DR4848COD,,1991,00000000,00000000,,00000000,0
8892,DR4456,,COD1990,,COD,DR4456COD,,1990,00000000,00000000,,00000000,0
8900,DR3271,,COD1987,,COD,DR3271COD,,1987,00000000,00000000,,00000000,0
8901,DR2835,,COD1986,,COD,DR2835COD,,1986,00000000,00000000,,00000000,0
8923,DR1115,,COD1982,,COD,DR1115COD,,1982,00000000,00000000,,00000000,0
8893,DR4462,,COD1990,,COD,DR4462COD,,1990,00000000,00000000,,00000000,0
8894,DR4471,,COD1990,,COD,DR4471COD,,1990,00000000,00000000,,00000000,0
8965,DR4144,,COK1989,,COK,DR4144COK,,1989,00000000,00000000,,00000000,0
8896,DR4125,,COD1989,,COD,DR4125COD,,1989,00000000,00000000,,00000000,0
8897,DR3696,,COD1988,,COD,DR3696COD,,1988,00000000,00000000,,00000000,0
8898,DR3697,,COD1988,,COD,DR3697COD,,1988,00000000,00000000,,00000000,0
8899,DR3711,,COD1988,,COD,DR3711COD,,1988,00000000,00000000,,00000000,0
8902,DR2859,,COD1986,,COD,DR2859COD,,1986,00000000,00000000,,00000000,0
8903,DR2424,,COD1985,,COD,DR2424COD,,1985,00000000,00000000,,00000000,0
8904,DR2431,,COD1985,,COD,DR2431COD,,1985,00000000,00000000,,00000000,0
8905,DR2445,,COD1985,,COD,DR2445COD,,1985,00000000,00000000,,00000000,0
8906,DR2048,,COD1984,,COD,DR2048COD,,1984,00000000,00000000,,00000000,0
8907,DR2086,,COD1984,,COD,DR2086COD,,1984,00000000,00000000,,00000000,0
8908,DR2089,,COD1984,,COD,DR2089COD,,1984,00000000,00000000,,00000000,0
8909,DR1547,,COD1983,,COD,DR1547COD,,1983,00000000,00000000,,00000000,0
8924,DR1115,,COD1982,,COD,DR1115COD,,1982,00000000,00000000,,00000000,0
8966,DR3710,,COK1988,,COK,DR3710COK,,1988,00000000,00000000,,00000000,0
8911,DR1567,,COD1983,,COD,DR1567COD,,1983,00000000,00000000,,00000000,0
8912,DR1057,,COD1982,,COD,DR1057COD,,1982,00000000,00000000,,00000000,0
8913,DR1073,,COD1982,,COD,DR1073COD,,1982,00000000,00000000,,00000000,0
8914,DR1115,,COD1982,,COD,DR1115COD,,1982,00000000,00000000,,00000000,0
8915,DR1116,,COD1982,,COD,DR1116COD,,1982,00000000,00000000,,00000000,0
8967,DR1101,,COK1982,,COK,DR1101COK,,1982,00000000,00000000,,00000000,0
8917,DR659,,COD1981,,COD,DR659COD,,1981,00000000,00000000,,00000000,0
8918,DR665,,COD1981,,COD,DR665COD,,1981,00000000,00000000,,00000000,0
8919,DR305,,COD1980,,COD,DR305COD,,1980,00000000,00000000,,00000000,0
8920,DR306,,COD1980,,COD,DR306COD,,1980,00000000,00000000,,00000000,0
8921,DR311,,COD1980,,COD,DR311COD,,1980,00000000,00000000,,00000000,0
8922,DR1115,,COD1982,,COD,DR1115COD,,1982,00000000,00000000,,00000000,0
8984,DR7771,,COL2000,,COL,DR7771COL,,2000,00000000,00000000,,00000000,0
8934,DR6859,,COG1997,,COG,DR6859COG,,1997,00000000,00000000,,00000000,0
